Time,data
1743174314.744324,2001 middle
1743174329.750485,2006 left
1743174347.8492389,2012 right
1743174365.845518,2018 middle
1743174380.747585,2023 right
1743174386.7428505,2025 left
1743174392.7454624,2027 right
1743174395.746162,2028 right
1743174416.7464778,2035 right
1743174419.7484968,2036 right
1743174428.7559698,2039 left
1743174431.8675544,2040 left
1743174440.744801,2043 left
1743174443.7482884,2044 left
1743174455.7442803,2048 middle
1743174476.7441254,2055 left
1743174494.7540653,2061 middle
1743174512.7481482,2067 left
1743174527.7582495,2072 right
1743174539.745252,2076 middle
1743174561.397885,2083 left
1743174581.7514064,2090 right
1743174602.747849,2097 left
1743174608.7502532,2099 middle
1743174614.7548985,2101 right
1743174620.751571,2103 right
1743174623.7486405,2104 right
1743174629.7483108,2106 left
1743174647.7467651,2112 right
1743174665.748047,2118 left
1743174683.7510834,2124 left
1743174692.7498736,2127 right
1743174695.7506077,2128 right
1743174707.7480953,2132 middle
1743174728.756914,2139 right
1743174749.750916,2146 right
1743174755.7541738,2148 right
1743174761.7481623,2150 middle
1743174767.7516026,2152 right
1743174785.7492118,2158 left
1743174797.7533388,2162 left
1743174806.7488203,2165 left
1743174809.7498927,2166 right
1743174812.9350154,2167 right
1743174815.7491493,2168 left
1743174818.7499385,2169 right
1743174833.7503574,2174 right
1743174851.7513773,2180 right
1743174869.7537649,2186 right
1743174872.750502,2187 right
1743174881.757509,2190 left
1743174893.7542691,2194 right
1743174902.761029,2197 right
