Time,data
1741040037.2535837,1008 left
1741040043.2515883,1010 right
1741040052.2532446,1013 right
1741040064.2518134,1017 middle
1741040067.2517684,1018 middle
1741040073.2522852,1020 right
1741040094.2518115,1027 right
1741040100.2536244,1029 right
1741040103.2529626,1030 right
1741040127.2510412,1038 middle
1741040133.250927,1040 right
1741040142.253862,1043 right
1741040157.2536597,1048 left
1741040163.2537804,1050 right
1741040187.253849,1058 right
1741040199.2537053,1062 right
1741040208.2525992,1065 right
1741040220.2535906,1069 right
1741040232.253491,1073 right
1741040253.2537103,1080 right
1741040262.2535508,1083 right
1741040277.253009,1088 right
1741040286.2536895,1091 right
