Time,data
1742480977.6670132,2004 right
1742480983.656444,2006 left
1742480989.659197,2008 right
1742480995.6795998,2010 left
1742480998.663388,2011 left
1742481002.2358973,2012 left
1742481004.6583357,2013 left
1742481007.6743572,2014 right
1742481010.6720436,2015 right
1742481013.6583908,2016 right
1742481016.6582544,2017 right
1742481019.6601238,2018 right
1742481025.6609387,2020 right
1742481031.6608045,2022 right
1742481040.661134,2025 left
1742481049.6609297,2028 right
1742481067.6738603,2034 left
1742481085.6615648,2040 left
1742481100.6613588,2045 right
1742481103.6597774,2046 right
1742481121.6624095,2052 middle
1742481139.6656547,2058 left
1742481157.662974,2064 middle
1742481172.6633792,2069 right
1742481190.673007,2075 left
1742481199.6685843,2078 right
1742481202.664284,2079 left
1742481205.66439,2080 right
1742481214.6649075,2083 left
1742481220.6646805,2085 middle
1742481223.6649616,2086 middle
1742481241.665182,2092 left
1742481256.6689558,2097 middle
