Time,data
1742480516.394977,2004 middle
1742480519.3954258,2005 middle
1742480540.395737,2012 left
1742480543.3945732,2013 right
1742480546.3975182,2014 right
1742480552.3972623,2016 left
1742480558.396402,2018 middle
1742480561.3960698,2019 right
1742480579.39398,2025 left
1742480585.3991575,2027 right
1742480603.4033465,2033 left
1742480618.4040067,2038 middle
1742480636.3915322,2044 right
1742480654.426958,2050 right
1742480672.3904388,2056 left
1742480675.4039094,2057 right
1742480681.3952248,2059 right
1742480699.3901827,2065 middle
1742480708.3896217,2068 right
1742480711.3892274,2069 right
1742480729.5418155,2075 right
1742480732.388926,2076 left
1742480738.3911583,2078 left
1742480762.4926796,2086 middle
1742480765.3934386,2087 right
1742480768.3888953,2088 left
1742480774.4012036,2090 right
1742480780.3900201,2092 left
1742480783.3923347,2093 right
1742480789.3915424,2095 left
1742480795.3987193,2097 right
1742480801.3916821,2099 left
