Time,data
1743171868.0435314,2007 right
1743171886.0471284,2013 right
1743171904.0455294,2019 left
1743171922.0482726,2025 left
1743171937.0443316,2030 left
1743171940.0473604,2031 left
1743171958.0522425,2037 left
1743171964.0461211,2039 right
1743171970.0433183,2041 left
1743171973.0434675,2042 left
1743171982.0459085,2045 right
1743172000.0448132,2051 left
1743172018.0473957,2057 right
1743172036.0475235,2063 left
1743172048.0467932,2067 right
1743172063.0458932,2072 right
1743172075.0458298,2076 left
1743172081.5486815,2078 middle
1743172084.0461116,2079 right
1743172090.047955,2081 right
1743172093.0479243,2082 right
1743172108.049711,2087 right
1743172111.044804,2088 left
1743172114.0460856,2089 left
1743172117.0457265,2090 right
1743172135.0468218,2096 right
1743172147.0462947,2100 middle
1743172150.0494695,2101 right
1743172165.0488605,2106 left
1743172180.051312,2111 right
1743172192.0479238,2115 left
1743172195.0491846,2116 left
1743172204.0486882,2119 right
1743172222.0495107,2125 middle
1743172243.0549648,2132 left
1743172252.046027,2135 right
1743172261.0475395,2138 left
1743172279.047417,2144 left
1743172300.051004,2151 left
1743172318.0511973,2157 right
1743172330.0472064,2161 middle
1743172333.0569866,2162 right
1743172345.049201,2166 left
1743172363.0619612,2172 left
1743172384.053304,2179 right
1743172402.0531464,2185 left
1743172420.0522268,2191 left
1743172438.0507412,2197 left
