Time,data
1743171144.8041482,3005 left
1743171150.8040845,3007 right
1743171162.8098207,3011 right
1743171177.8064988,3016 right
1743171198.8050358,3023 right
1743171204.8115203,3025 right
1743171210.8051274,3027 right
1743171213.8323066,3028 right
1743171228.808062,3033 right
1743171231.8048174,3034 left
1743171234.8087964,3035 right
1743171252.8089736,3041 right
1743171270.8052535,3047 right
1743171276.8076408,3049 right
1743171285.8051186,3052 right
1743171294.8067095,3055 left
1743171297.8051434,3056 right
1743171309.8046136,3060 middle
1743171318.8047209,3063 left
1743171321.8056626,3064 right
1743171333.8056793,3068 left
1743171348.8063693,3073 middle
1743171360.805264,3077 left
1743171369.8043013,3080 right
1743171372.8048167,3081 left
1743171375.8044763,3082 right
1743171378.8133566,3083 right
1743171393.809055,3088 left
1743171399.8062944,3090 middle
1743171402.8072894,3091 left
1743171405.807237,3092 left
1743171417.804169,3096 right
1743171429.8038898,3100 left
1743171444.8057249,3105 middle
1743171447.8059175,3106 left
1743171450.8046768,3107 left
1743171453.824344,3108 right
1743171471.8034503,3114 right
1743171483.8065677,3118 right
1743171486.803646,3119 right
1743171498.8057275,3123 left
1743171513.8424623,3128 left
1743171531.803696,3134 right
1743171549.8073545,3140 middle
1743171558.804231,3143 left
1743171561.804132,3144 right
1743171579.8050008,3150 left
1743171597.8059406,3156 right
1743171600.8051128,3157 right
1743171606.8051276,3159 left
1743171609.8050077,3160 left
1743171615.8041852,3162 middle
1743171618.8162696,3163 left
1743171621.8051298,3164 middle
1743171624.805019,3165 middle
1743171627.8063672,3166 right
1743171630.8120434,3167 right
1743171639.805324,3170 left
1743171645.8058333,3172 right
1743171651.8054476,3174 left
1743171660.803892,3177 right
1743171678.813218,3183 right
1743171693.8062441,3188 right
1743171708.8120985,3193 middle
